Nama SKU,Jumlah Penjualan,Harga Penjualan,Estimasi GMV,Number Of Page
Buah Matoa Fresh 500 Gram,100,32000,3200000,5
Buah Segar Kelapa Thailand Coco Thumb,5,31900,159500,5
Cherry Import Manis Fresh Ceri 250 gram - 250g,3,111000,333000,5
Buah Matoa Fresh 500 Gram,100,32000,3200000,5
Buah Mangga Lokal Harum Manis - 900 gram,2,39960,79920,5
Cherry Import Manis Fresh Ceri 250 gram - 250g,3,111000,333000,5
Toserba,2,5310100,10620200,5
Buah Matoa Papua 3Rasa Duren+Rambutan+Klengkeng Harga Grosir 500gr,500,25425,12712500,5
BUAH MATOA FRESH,100,35900,3590000,5
Buah Matoa Fresh 500 Gram,100,6400100,640010000,5
Toserba,2,5310100,10620200,5
Buah Matoa 3 Rasa Dalam Satu Gigitan,100,52000,5200000,5
Beli Lokal,100,50000,5000000,5
Buah Matoa Khas Papua 500gr,80,40000,3200000,5
Rezeki Fresh Market Matoa [0.5-0.7 kg/1 pack],40,59800,2392000,5
Buah Matoa Papua 3Rasa Duren+Rambutan+Klengkeng Harga Grosir 250gr,100,12715,1271500,5
"Nanas Honi Sunpride Super Besar 1kg+ ""Promo Paket Spesial Hemat Murah""",100,18950,1895000,5
BUAH RAMBUTAN BINJAI MANIS NGELOTOK FRESH HARGA TERJANGKAU PASTI MURAH,12,9995,119940,5
Buah Rambutan Binjai Manis Garing Nglotok Enak Segar Fresh 500gr - 500gr,250,2000100,500025000,5
Buah Rambutan Manis Segar Fresh Enak Nikmat Toko Buah Termurah 500gr,100,1990100,199010000,5
Termurah Buah Klengkeng 500gr * Tanpa Ranting * Toko Buah Termurah - 500gr,1,4900100,4900100,5
Buah Matoa Asli Papua 3 Rasa Jadi Satu Rambutan/Durian/Klengkeng 500gr,250,5150100,1287525000,5
Beli Lokal,19,9500100,180501900,5
buah matoa manis premium fresh 1 kg,19,7500100,142501900,5
VIRAAAALLL BUAH MATOA 3 RASA TERMURAH Rasa Durian Kelengkeng Rambutan,17,18125,308125,5
Beli Lokal,6,3000100,18000600,5
BUAH MATOA PAPUA 500GR,11,33000,363000,5
Buah Matoa 1 Kg,16,11590100,185441600,5
buah matoa super manis & banyak air/buah langka/kg,29,55000,1595000,5
BUAH MATOA MANIS 1KG,14,110000,1540000,5
Buah Matoa POMETIA PINNATA papua 3 macam rasa jadi 1 murah 250gr,100,12995,1299500,5
Produk Terbaru,0,6250100,0,5
buah naga,100,39000,3900000,5
Buah jeruk santang gundul tanpa daun import fresh segar termurah hemat,12,18495,221940,5
Beli Lokal,12,40000,480000,5
buah matoa 1 KG & 500 GRAM manis banget!!!,18,30000,540000,5
VIRAAAALLL BUAH MATOA 3 RASA TERMURAH Durian Kelengkeng Rambutan 500Gr,8,7250100,58000800,5
Buah Matoa Asli Papua 3 Macam Rasa Rambutan/Durian/Klengkeng 250gr,100,5480100,548010000,5
Beli Lokal,13,155000,2015000,5
